Event Name,Category,Artist/Organizer,City,State,Start Date,Venue,Price (INR),Description,,,Banner
Arijit Singh Live 2026,Music Concert,Arijit Singh,Guwahati,Assam,2026-07-18,Barshapara Stadium,2499,"Live concert by Arijit Singh — an unforgettable evening of soulful melodies at Barshapara Stadium, Guwahati. Experience the magic of India's most loved voice live on stage.",,, 
Shreya Ghoshal Melody Night,Music Concert,Shreya Ghoshal,Guwahati,Assam,2026-08-08,Vivanta By Taj,1999,"Melodious live performance by the golden-voiced Shreya Ghoshal. A night of timeless songs and magical moments at the iconic Vivanta By Taj, Guwahati.",,, 
A.R. Rahman World Tour India,Music Concert,A.R. Rahman,Guwahati,Assam,2026-09-12,Jawaharlal Nehru Stadium,2999,"Grand musical experience with the Mozart of Madras — A.R. Rahman brings his World Tour to India! An epic night of timeless hits spanning three decades of musical genius.",,, 
Sonu Nigam Unplugged,Music Concert,Sonu Nigam,Guwahati,Assam,2026-10-03,Indira Gandhi Arena,1799,"Unplugged concert night with India's iconic vocalist Sonu Nigam. An intimate acoustic evening of romantic classics and Bollywood favourites you'll never forget.",,, 
Assam Smart City HackFest 2026,Hackathon,Assam Engineering College,Guwahati,Assam,2026-08-22,Assam Engineering College Guwahati,299,"Collaborate with talented developers, engineers, and innovators to solve real-world urban challenges through technology, IoT, smart infrastructure, and digital transformation solutions.",,,/assets/events/assam-smart-city-hackfest-2026.jpg
Armaan Malik Live in Concert,Music Concert,Armaan Malik,Guwahati,Assam,2026-11-21,Khanapara Ground,1599,"Youth-focused live concert with chart-topping artist Armaan Malik. Dance, sing along and create memories at one of the most energetic shows of 2026.",,, 
Nilesh Rage Live,Music Concert,Nilesh Rage,Guwahati,Assam,2026-07-11,Royal Global University,499,"First ever concert from this emerging artist. Taking his live concert to your city. Don't forget to be part of this incredible debut performance at Royal Global University.",,, 
Guwahati AI & Innovation Hackathon 2026,Hackathon,IIT Guwahati,Guwahati,Assam,2026-07-18,Indian Institute of Technology Guwahati (IIT Guwahati),499,"A 12-hour AI and innovation hackathon bringing together students, developers, designers, and entrepreneurs to build impactful solutions using artificial intelligence, machine learning, and automation technologies.",,,/assets/events/guwahati-ai-hackathon-2026.jpg
Winter Carnival 2026,Festival,RGU Event Management,Guwahati,Assam,2026-11-20,Royal Global University,299,"Food and cultural festival celebrating the best of Assamese tradition. Enjoy local cuisine, folk performances, art exhibitions and family-friendly activities at RGU.",,, 
Taylor Swift: The Eras Tour India,Music Concert,Taylor Swift,Guwahati,Assam,2026-11-05,Barshapara Stadium,3999,"Taylor Swift brings The Eras Tour to India! A spectacular 3-hour journey through all of Taylor's musical eras — from country hits to pop anthems to indie folk masterpieces.",,, 
Guns N' Roses India Tour,Music Concert,Guns N' Roses,Guwahati,Assam,2026-11-17,Khanapara Ground,4999,"Legendary rock band Guns N' Roses brings their iconic Metal & Rock show to India. Get ready for Welcome to the Jungle, November Rain, Paradise City and more!",,, 
HackIndia National Hackathon,Hackathon,HackIndia,Bangalore,Karnataka,2026-07-25,Tech Convention Center,499,"48-hour national coding challenge. Build innovative solutions, compete with top developers from across India and win prizes worth ₹10 Lakhs. Food and accommodation included.",,, 
Northeast Tech Summit & Developer Conference 2026,Technology Conference,Northeast Tech Association,Guwahati,Assam,2026-10-10,Srimanta Sankardev Kalakshetra Guwahati,999,"A premier technology conference featuring keynote speakers, startup founders, AI experts, software engineers, cloud architects, and industry leaders discussing the future of technology in Northeast India.",,,/assets/events/northeast-tech-summit-2026.jpg
AI Innovation HackFest,Hackathon,AI Community India,Pune,Maharashtra,2026-08-15,Pune Tech Park,399,"AI and ML focused hackathon for builders who want to shape the future. 36-hour sprint, mentors from top tech companies, and an exciting demo day with investor pitches.",,, 
Startup Networking Summit,Business,Startup India,Delhi,Delhi,2026-08-22,Pragati Maidan,999,"Connect with 500+ founders, investors and ecosystem leaders at India's premier startup networking summit. Panel discussions, fireside chats and evening networking dinner.",,, 
Digital Marketing Masterclass,Workshop,Marketing Guild,Kolkata,West Bengal,2026-10-10,ITC Sonar Convention Hall,699,"A full-day intensive workshop on modern digital marketing — SEO, paid ads, content strategy, social media and analytics. Certification included. Limited seats available.",,, 
